gamma,q,qhat,I,s_cond,s_prior,s
5.4,0.9407780884632753,15.885642061194357,2.9417855668878437,0.1749888804599823,0.17460051757403497,0.34958939803401723
5.5,0.942702967890579,16.45291097250312,2.991438358636931,0.17213389180555297,0.17425486221449155,0.34638875402004454
5.6,0.9445384517473916,17.030510000276866,3.041162500049441,0.16936589136750851,0.17388632775654758,0.3432522191240561
5.7,0.946289814656347,17.61844255434842,3.090954834096214,0.16668117481996664,0.1734967376835362,0.3401779125035028
5.8,0.9479619608752388,18.216711798287452,3.140812379015078,0.1640762324663007,0.17308778839025704,0.3371640208565577
5.9,0.9495594539394205,18.825320669833836,3.190732316920989,0.16154773758702531,0.17266105831028045,0.3342087958973058
6.0,0.9510865436864226,19.4442718994395,3.2407119832399167,0.15909253552598845,0.17221801636943912,0.3313105518954276
6.1,0.9525471909107681,20.073568027110518,3.2907488569033636,0.15670763347076525,0.1717600298139501,0.3284676632847153
6.2,0.9539450898725018,20.713211417718355,3.340840551244896,0.15439019088478007,0.1712883714587229,0.32567856234350295
6.3,0.9552836888165577,21.363204258154944,3.390984802881737,0.1521375106256725,0.17080422632336573,0.3229417369490382
6.4,0.9565662089516948,22.023548636538273,3.441179474459105,0.14994703025934958,0.1703086981476027,0.32025572840695227
6.5,0.9577956613823584,22.694246454909127,3.4914225315244813,0.14781631466411344,0.16980281469214595,0.31761912935625936
6.6,0.9589748630384671,23.37529950510677,3.541712046228299,0.14574304837975588,0.16928753336996671,0.3150305817497226
6.7,0.960106451060747,24.066709462231547,3.592046188392768,0.14372502880313512,0.16876374610580483,0.31248877490893995
6.8,0.9611928960331317,24.768477893458794,3.6424232196262936,0.14176015974506265,0.1682322839080489,0.3099924436531115
6.9,0.9622365141253999,25.48060626610499,3.6928414878413025,0.1398464453953474,0.16769392110478765,0.30754036650013505
7.0,0.9632394782441003,26.20309595501326,3.7432994221447515,0.137981984668859,0.16714937926957343,0.30513136393843243
7.1,0.9642038282803874,26.93594824932327,3.7937955280737,0.13616496590719698,0.16659933086052284,0.3027642967677198
7.2,0.9651314805348956,27.67916435868118,3.844328383150164,0.13439366191221763,0.16604440259457232,0.30043806450678995
7.3,0.9660242363921514,28.432745418942055,3.8948966327317884,0.13266642528923045,0.1654851785770423,0.29815160386627276
7.4,0.9668837903101509,29.196692497408637,3.945498986136302,0.1309816840791712,0.16492220320510081,0.295903887284272
7.5,0.9677117371845505,29.971006597650536,3.9961342130200714,0.12933793766044863,0.1643559838622831,0.2936939215227317
7.6,0.9685095791413524,30.755688663939218,4.046801139992002,0.12773375290247455,0.1637869934198926,0.29152074632236713
7.7,0.969278731806952,31.55073958533348,4.0974986474459065,0.12616776055412438,0.1632156725598717,0.28938343311399606
7.8,0.970020530099895,32.356160199446116,4.148225666595656,0.12463865185152347,0.16264243193259426,0.2872810837841177
7.9,0.9707362335846212,33.171951295919115,4.198981176698622,0.12314517533062712,0.16206765416199018,0.2852128294926173
8.0,0.971427031423789,33.99811361963207,4.249764202454009,0.12168613383108363,0.16149169570942495,0.2831778295405086
8.1,0.97209404691824,34.83464783042901,4.300573806225804,0.12026038177387982,0.16091488851179464,0.28117527028567446
8.2,0.9727383419313411,35.681554677870935,4.351409107057432,0.11886682212920684,0.1603375419754061,0.2792043641046129
8.3,0.9733609205563416,36.53883474717325,4.4022692466473785,0.11750440449651543,0.15975994390174023,0.27726434839825564
8.4,0.97396273294756,37.40648863167822,4.4531534085331215,0.11617212237181232,0.15918236226817079,0.27535448463998313
8.5,0.9745446786636854,38.2845168927385,4.504060810910412,0.11486901103210298,0.15860504643191822,0.2734740574640212
8.6,0.9751076098151039,39.172920061737244,4.554990704853168,0.11359414545115526,0.1580282283413132,0.27162237379246845
8.7,0.9756523339889717,40.07169864196284,4.605942372639407,0.11234663833479633,0.15745212366447028,0.2697987619992666
8.8,0.9761796169694761,40.980853110349905,4.656915126176125,0.11112563826812136,0.15687693284136808,0.26800257110948944
8.9,0.976690185269228,41.90038391909753,4.707908305516576,0.10993032796752128,0.1563028420648685,0.2662331700323898
9.0,0.977184728486372,42.83029149717433,4.7589212774638145,0.10875992263092034,0.15573002419578538,0.26448994682670574
9.1,0.9776639015007691,43.77057625171872,4.809953434254805,0.10761366838006803,0.15515863961672302,0.2627723079967911
9.2,0.9781283265214875,44.72123856934353,4.861004192319949,0.1064908407891468,0.15458883702904527,0.2610796778181921
9.3,0.9785785949968187,45.68227881735022,4.912072991112927,0.10539074349433826,0.15402075419701586,0.25941149769135413
9.4,0.9790152693971053,46.65369734486371,4.963159292006777,0.10431270687936944,0.15345451864282877,0.2577672255221982
9.5,0.9794388848798276,47.635494483887726,5.01426257725134,0.10325608683237794,0.15289024829598236,0.25614633512836027
9.6,0.9798499508456249,48.62767055029277,5.06538234898883,0.10222026356975279,0.15232805210019337,0.2545483156699462
9.7,0.9802489523932225,49.63022584473696,5.116518128323398,0.10120464052290419,0.1517680305807936,0.2529726711036978
9.8,0.9806363516355594,50.643160561768106,5.167669445078378,0.10020864340055113,0.15121027625897304,0.2514189196595242
9.9,0.981012589155196,51.666475156251764,5.218835874368865,0.09923171872304382,0.1506548746153501,0.24988659333839391
10.0,0.9813780849241776,52.700169797825005,5.2700169797825005,0.09827333357943474,0.1501019038511985,0.24837523743063325
