experiment,repeat,training_objective,D,gamma,N,alpha,M_train,num_steps,fast_debug,final_run,macbook_30min_run,run_mode,t_val,train_loss_t,train_acc_t,test_loss_t,test_acc_t
C,0,repo_uniform_t,80,1.0,80,50.0,4000,1500,False,True,False,full_final,0.1,0.5349216486835481,0.7266307754993439,0.5490341854095458,0.7159139859676361
C,0,repo_uniform_t,80,1.0,80,50.0,4000,1500,False,True,False,full_final,0.3,0.5694032131767273,0.7002641723442078,0.5813998746871948,0.6903840684890747
C,0,repo_uniform_t,80,1.0,80,50.0,4000,1500,False,True,False,full_final,0.5,0.6044094878864288,0.6690044017505645,0.6137120294570922,0.6606300008296967
C,0,repo_uniform_t,80,1.0,80,50.0,4000,1500,False,True,False,full_final,0.7,0.6399338814163208,0.6310759423065185,0.6456007874011993,0.6246948802471161
C,0,repo_uniform_t,80,1.0,80,50.0,4000,1500,False,True,False,full_final,0.9,0.6755293192005157,0.5748296048736572,0.6770756173133851,0.5717403674125672
A+B,0,repo_uniform_t,80,2.0,160,0.5,40,3000,False,True,False,full_final,0.1,0.0017186719039455056,0.999907294511795,1.7695721578598023,0.6131755435466766
A+B,0,repo_uniform_t,80,2.0,160,0.5,40,3000,False,True,False,full_final,0.3,0.022705379612743853,0.9935879147052764,1.5989303588867188,0.6031832373142243
A+B,0,repo_uniform_t,80,2.0,160,0.5,40,3000,False,True,False,full_final,0.5,0.09373764619231224,0.964562164545059,1.408022530078888,0.590265748500824
A+B,0,repo_uniform_t,80,2.0,160,0.5,40,3000,False,True,False,full_final,0.7,0.2533572432398796,0.8931651842594148,1.1863235545158386,0.5729665219783783
A+B,0,repo_uniform_t,80,2.0,160,0.5,40,3000,False,True,False,full_final,0.9,0.5193157041072846,0.7434031224250793,0.9029302322864532,0.5441014051437378
A+B+C,0,repo_uniform_t,80,2.0,160,1.0,80,3000,False,True,False,full_final,0.1,0.03274799801409244,0.9940390229225159,1.237413284778595,0.6494011390209198
A+B+C,0,repo_uniform_t,80,2.0,160,1.0,80,3000,False,True,False,full_final,0.3,0.11305126190185547,0.9581887698173525,1.15972275018692,0.6366392791271209
A+B+C,0,repo_uniform_t,80,2.0,160,1.0,80,3000,False,True,False,full_final,0.5,0.2389334535598755,0.8991891062259674,1.075576629638672,0.6185085594654083
A+B+C,0,repo_uniform_t,80,2.0,160,1.0,80,3000,False,True,False,full_final,0.7,0.41014837563037865,0.8133501887321473,0.9676048016548157,0.5945075190067292
A+B+C,0,repo_uniform_t,80,2.0,160,1.0,80,3000,False,True,False,full_final,0.9,0.604041520357132,0.6814369881153106,0.8133696293830872,0.5562211942672729
A+B+C,0,repo_uniform_t,80,2.0,160,2.0,160,3000,False,True,False,full_final,0.1,0.13670076578855514,0.9528696990013122,0.8656486749649048,0.6869869792461395
A+B+C,0,repo_uniform_t,80,2.0,160,2.0,160,3000,False,True,False,full_final,0.3,0.24710824519395827,0.8953173470497131,0.8570038831233978,0.667560544013977
A+B+C,0,repo_uniform_t,80,2.0,160,2.0,160,3000,False,True,False,full_final,0.5,0.375318757891655,0.8298188805580139,0.8392086720466614,0.6438447451591491
A+B+C,0,repo_uniform_t,80,2.0,160,2.0,160,3000,False,True,False,full_final,0.7,0.5092106169462204,0.7530004525184631,0.8070329809188843,0.6135463964939117
