L,alpha,batch_size,dataset,epochs,l2reg,model,run_dir,exp_dir,freeze_mask_weights,bias,hebbian,train/loss_t0.1,train/acc_t0.1,train/loss_t0.5,train/acc_t0.5,train/loss_t0.9,train/acc_t0.9,train/loss_t1.0,train/acc_t1.0,train/uturn_overlap_t0.1,train/uturn_overlap_t0.5,train/uturn_overlap_t0.9,train/uturn_overlap_t1.0,sample/top3_overlaps_with_train,train/l2loss,train/qV,train/qW,train/total_loss,val/acc,val/loss,train/acc,train/loss
1024,4.0,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha4.0_hebbian_fmw/version_0/MacBook-Pro-di-Filippo-2.local,,True,False,True,,,,,,,,,,,,,,,,,,,,,
1024,4.0,512,uniform,5000,0.0,linear,logs/linear_uniform_L1024_alpha4.0_l2reg0.0/version_0/cnode07,,,,,0.595604419708252,0.6825848817825317,0.6497153639793396,0.6268454790115356,0.6919422745704651,0.5487929582595825,0.7002410888671875,0.5012054443359375,0.9204788208007812,0.5580635070800781,0.12237739562988281,0.00024318695068359375,"[0.12596680223941803, 0.11717773228883743, 0.11264648288488388]",,,,,,,0.592232519655911,0.6468052446731569
1024,4.0,512,uniform,25000,0.01,linear,logs/linear_uniform_L1024_alpha4.0_l2reg0.01/version_0/cnode05,,False,False,,,,,,,,,,,,,,,0.0017221609079279005,0.03189539274573326,1.3458333622217178,0.6349901080727577,,,0.6018337324857712,0.6332679461836815
1024,4.0,512,uniform,5000,0.01,linear,logs/linear_uniform_L1024_alpha4.0_l2reg0.01_fmw/version_0/cnode06,,True,False,,,,,,,,,,,,,,,0.0016837252530967817,0.0,1.3469802311062813,0.6345863585174084,,,0.6034401255846024,0.6329026325047016
1024,8.0,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha8.0_hebbian/version_0/MacBook-Pro-di-Filippo-2.local,,False,False,True,,,,,,,,,,,,,,0.0,0.1171434037387371,72.01112365722656,0.8282067567110062,,,0.5744591563940048,0.8282067567110062
1024,8.0,512,uniform,100,0.0,linear,logs/linear_uniform_L1024_alpha8.0_hebbian_fmw/version_0/MacBook-Pro-di-Filippo-2.local,,True,False,True,,,,,,,,,,,,,,,,,,,,,
1024,8.0,512,uniform,5000,0.0,linear,logs/linear_uniform_L1024_alpha8.0_l2reg0.0/version_0/cnode05,,,,,0.6606109738349915,0.6149969696998596,0.6813105940818787,0.5805387496948242,0.6965367197990417,0.5294049382209778,0.6994047164916992,0.50034499168396,0.9106235504150391,0.5295400619506836,0.11168980598449707,-7.915496826171875e-05,"[0.12647460401058197, 0.11749999970197678, 0.11320312321186066]",,,,,,,0.5574851715456846,0.6805993407155594
1024,8.0,512,uniform,25000,0.01,linear,logs/linear_uniform_L1024_alpha8.0_l2reg0.01/version_0/cnode05,,False,False,,,,,,,,,,,,,,,0.00041831321024095644,0.03118363799898995,0.6381175130309974,0.666829804502748,,,0.5685252686911144,0.6664114922383655
1024,8.0,512,uniform,5000,0.01,linear,logs/linear_uniform_L1024_alpha8.0_l2reg0.01_fmw/version_0/cnode06,,True,False,,,,,,,,,,,,,,,0.00039630592838511803,0.0,0.6340895002484321,0.6655198748707771,,,0.5713273182511329,0.6651235684156418
128,0.05,512,uniform,5000,0.0,linear,logs/linear_uniform_L128_alpha0.05_l2reg0.0/version_0/mbp14.local,,,,,0.00013183176633901894,1.0,0.002039302373304963,1.0,0.21515531837940216,0.9470746517181396,0.6326541304588318,0.6432291865348816,1.0,1.0,0.8463541865348816,0.046875,"[0.7006250023841858, 0.2224999964237213, 0.09140624850988388]",,,,,,,0.9653825536966324,0.05796416210355528
128,0.1,512,uniform,10000,0.0,linear,logs/linear_uniform_L128_alpha0.1_l2reg0.0/version_1/mac,,,,,4.00523731514113e-06,1.0,0.006370385177433491,0.9985583424568176,0.3288986384868622,0.8525879383087158,0.6777647733688354,0.5901442170143127,1.0,0.998798131942749,0.6502403616905212,0.11778846383094788,"[0.5269531011581421, 0.3225781321525574, 0.23195312917232513]",,,,,,,0.9344093823432922,0.08498165447963402
128,0.1,512,uniform,10000,0.0,linear,logs/linear_uniform_L128_alpha0.1_l2reg0.0/version_2/mac,,,,,0.00011083949357271194,1.0,0.014498397707939148,0.9978457689285278,0.33614328503608704,0.8623871207237244,0.6593965888023376,0.6117788553237915,1.0,0.9975962042808533,0.609375,0.08653846383094788,"[0.5114843845367432, 0.3304687440395355, 0.24609375]",,,,,,,0.9344880187511444,0.09317404744960368
2048,0.05,512,uniform,5000,0.0,linear,logs/linear_uniform_L2048_alpha0.05_l2reg0.0/version_0/cnode06,,,,,8.582869526208015e-09,1.0,0.00019378408615011722,0.9999779462814331,0.208200141787529,0.9173007011413574,0.7466924786567688,0.5173770785331726,1.0,0.9999808669090271,0.9338235259056091,0.0053902422077953815,"[0.22067871689796448, 0.1869824230670929, 0.16896972060203552]",,,,,,,0.9513268917798996,0.05760547852516174
2048,0.1,512,uniform,5000,0.0,linear,logs/linear_uniform_L2048_alpha0.1_l2reg0.0/version_0/hpc,,,,,5.834448302266537e-07,1.0,0.007242180872708559,0.9980836510658264,0.3634631335735321,0.8374444842338562,0.7261165976524353,0.5113447904586792,1.0,0.9993569254875183,0.6504334807395935,0.005387766752392054,"[0.17088867723941803, 0.15142089128494263, 0.13986817002296448]",,,,,,,0.9199712119102478,0.09608017703145742
2048,0.5,512,uniform,5000,0.0,linear,logs/linear_uniform_L2048_alpha0.5_l2reg0.0/version_0/hpc,,,,,0.03753095120191574,0.9944561719894409,0.28491488099098206,0.8776627779006958,0.6422913670539856,0.6588968634605408,0.7085043787956238,0.5025506019592285,0.9952106475830078,0.8422307968139648,0.24383926391601562,0.000274658203125,"[0.11351562291383743, 0.10349120944738388, 0.09840331971645355]",,,,,,,0.7795107416510582,0.3130191142857075
256,0.05,512,uniform,5000,0.0,linear,logs/linear_uniform_L256_alpha0.05_l2reg0.0/version_0/cnode06,,,,,5.630751275020884e-06,1.0,0.0015082715544849634,0.9998780488967896,0.2109779566526413,0.9370272755622864,0.66993248462677,0.6036658883094788,1.0,0.9993990659713745,0.8509615659713745,0.030649038031697273,"[0.5327343940734863, 0.2964453101158142, 0.2224999964237213]",,,,,,,0.9590539728403091,0.060931970054050905
256,0.1,512,uniform,5000,0.0,linear,logs/linear_uniform_L256_alpha0.1_l2reg0.0/version_0/cnode05,,,,,8.021512621780857e-05,1.0,0.011406837031245232,0.99882972240448,0.34881889820098877,0.8502562642097473,0.6872448325157166,0.5671574473381042,1.0,0.9972956776618958,0.6364182829856873,-0.008413461968302727,"[0.3875390589237213, 0.2965624928474426, 0.24656249582767487]",,,,,,,0.9252888643741608,0.0983510115519166
