decoding,alpha,t0,frac_masked,frac_correct,frac_errors
fair,0.5,0.46,0.4599609375,0.9290722608566284,0.07092773169279099
fair,0.5,0.48,0.48046875,0.9211523532867432,0.07884765416383743
fair,0.5,0.5,0.5,0.9138085842132568,0.08619140833616257
fair,0.5,0.52,0.51953125,0.9066015481948853,0.09339843690395355
fair,0.5,0.54,0.5400390625,0.8986914157867432,0.10130859166383743
fair,0.5,0.56,0.5595703125,0.8905078172683716,0.10949219018220901
fair,0.5,0.58,0.580078125,0.8812011480331421,0.11879882961511612
fair,0.5,0.6,0.599609375,0.8696484565734863,0.13035155832767487
fair,0.5,0.62,0.6201171875,0.8593164086341858,0.1406835913658142
fair,0.5,0.64,0.6396484375,0.849169909954071,0.15083007514476776
fair,0.5,0.66,0.66015625,0.8360254168510437,0.1639746129512787
fair,0.5,0.68,0.6796875,0.8247363567352295,0.1752636730670929
fair,0.5,0.7000000000000001,0.7001953125,0.8128320574760437,0.1871679723262787
fair,0.5,0.72,0.7197265625,0.80029296875,0.19970703125
fair,0.5,0.74,0.740234375,0.7864062786102295,0.2135937511920929
fair,0.5,0.76,0.759765625,0.7731347680091858,0.2268652319908142
fair,0.5,0.78,0.7802734375,0.7541797161102295,0.2458203136920929
fair,0.5,0.8,0.7998046875,0.7415429949760437,0.2584570348262787
fair,0.5,0.8200000000000001,0.8203125,0.7237793207168579,0.2762207090854645
fair,0.5,0.84,0.83984375,0.70361328125,0.29638671875
fair,0.5,0.86,0.8603515625,0.6849120855331421,0.3150878846645355
fair,0.5,0.88,0.8798828125,0.6663183569908142,0.3336816430091858
fair,0.5,0.9,0.900390625,0.6419140696525574,0.3580859303474426
fair,0.5,0.92,0.919921875,0.6174023151397705,0.3825976550579071
fair,0.5,0.9400000000000001,0.9404296875,0.5933203101158142,0.4066796898841858
fair,0.5,0.96,0.9599609375,0.5667968988418579,0.4332031309604645
fair,0.5,0.98,0.98046875,0.5374414324760437,0.4625585973262787
fair,0.5,1.0,1.0,0.4988378882408142,0.5011621117591858
fair,1.0,0.0,0.0,1.0,0.0
fair,1.0,0.02,0.01953125,0.9974511861801147,0.002548828022554517
fair,1.0,0.04,0.0400390625,0.9944629073143005,0.005537109449505806
fair,1.0,0.06,0.0595703125,0.9912988543510437,0.008701171725988388
fair,1.0,0.08,0.080078125,0.987353503704071,0.012646484188735485
fair,1.0,0.1,0.099609375,0.9838183522224426,0.016181640326976776
fair,1.0,0.12,0.1201171875,0.9792090058326721,0.02079101651906967
fair,1.0,0.14,0.1396484375,0.975341796875,0.024658203125
fair,1.0,0.16,0.16015625,0.9706933498382568,0.029306640848517418
fair,1.0,0.18,0.1796875,0.9666601419448853,0.03333984315395355
fair,1.0,0.2,0.2001953125,0.9618554711341858,0.03814453259110451
fair,1.0,0.22,0.2197265625,0.9558691382408142,0.04413085803389549
fair,1.0,0.24,0.240234375,0.9513183832168579,0.04868163913488388
fair,1.0,0.26,0.259765625,0.9449804425239563,0.05501953139901161
fair,1.0,0.28,0.2802734375,0.9396093487739563,0.06039062514901161
fair,1.0,0.3,0.2998046875,0.9318457245826721,0.06815429776906967
fair,1.0,0.32,0.3203125,0.9255664348602295,0.0744335949420929
fair,1.0,0.34,0.33984375,0.920117199420929,0.07988281548023224
fair,1.0,0.36,0.3603515625,0.9117968678474426,0.08820312470197678
fair,1.0,0.38,0.3798828125,0.906201183795929,0.09379883110523224
fair,1.0,0.4,0.400390625,0.894970715045929,0.10502929985523224
fair,1.0,0.42,0.419921875,0.8896386623382568,0.11036133021116257
fair,1.0,0.44,0.4404296875,0.8806054592132568,0.11939453333616257
fair,1.0,0.46,0.4599609375,0.8716894388198853,0.12831054627895355
fair,1.0,0.48,0.48046875,0.8624218702316284,0.13757812976837158
fair,1.0,0.5,0.5,0.8561035394668579,0.14389649033546448
fair,1.0,0.52,0.51953125,0.8456152081489563,0.1543847620487213
fair,1.0,0.54,0.5400390625,0.8374316692352295,0.1625683605670929
fair,1.0,0.56,0.5595703125,0.8270702958106995,0.17292968928813934
fair,1.0,0.58,0.580078125,0.8182617425918579,0.18173828721046448
fair,1.0,0.6,0.599609375,0.8068457245826721,0.19315429031848907
fair,1.0,0.62,0.6201171875,0.7972558736801147,0.20274414122104645
fair,1.0,0.64,0.6396484375,0.7840136885643005,0.21598632633686066
fair,1.0,0.66,0.66015625,0.7741015553474426,0.22589844465255737
fair,1.0,0.68,0.6796875,0.7615527510643005,0.23844726383686066
fair,1.0,0.7000000000000001,0.7001953125,0.7482226490974426,0.2517773509025574
fair,1.0,0.72,0.7197265625,0.7370312213897705,0.2629687488079071
fair,1.0,0.74,0.740234375,0.7240039110183716,0.2759960889816284
fair,1.0,0.76,0.759765625,0.7103808522224426,0.2896191477775574
fair,1.0,0.78,0.7802734375,0.696044921875,0.303955078125
